idx_new,new_full_species,key_to_merge,n_repeat,new_author,new_species,new_epithet,Unmatched_terms,new_genus,iucn_status
236,Ranunculus minimus (L.) E.H.L.Krause,['1363970'],1,(L.) E.H.L.Krause,Ranunculus minimus,minimus,,Ranunculus,Not assessed
237,Fragaria vesca L.,['1363991'],1,L.,Fragaria vesca,vesca,,Fragaria,LC
238,Potentilla indica (Andrews) Th.Wolf,"['1364000', '1411834']",2,(Andrews) Th.Wolf,Potentilla indica,indica,,Potentilla,Not assessed
239,Valeriana rubra L.,['1364099'],1,L.,Valeriana rubra,ruber,,Valeriana,Not assessed
240,Guizotia abyssinica (L.f.) Cass.,"['1364112', '1392658']",2,(L.f.) Cass.,Guizotia abyssinica,abyssinica,,Guizotia,Not assessed
241,Tagetes minuta L.,['1364158'],1,L.,Tagetes minuta,minuta,,Tagetes,Not assessed
242,Tagetes erecta L.,"['1364159', '1374048']",2,L.,Tagetes erecta,patula,,Tagetes,Not assessed
243,Calendula arvensis L.,"['1364161', '1390637', '1432786']",3,L.,Calendula arvensis,arvensis,,Calendula,Not assessed
244,Lapsana communis L.,['1364164'],1,L.,Lapsana communis,communis,,Lapsana,Not assessed
245,Carthamus tinctorius L.,['1364165'],1,L.,Carthamus tinctorius,tinctorius,,Carthamus,Not assessed
246,Lactuca sativa L.,['1364172'],1,L.,Lactuca sativa,sativa,,Lactuca,Not assessed
247,Lactuca serriola L.,['1364173'],1,L.,Lactuca serriola,serriola,,Lactuca,LC
248,Arthraxon hispidus (Thunb.) Makino,['1364440'],1,(Thunb.) Makino,Arthraxon hispidus,hispidus,,Arthraxon,Not assessed
249,Microchloa kunthii Desv.,['1364512'],1,Desv.,Microchloa kunthii,kunthii,,Microchloa,Not assessed
250,Harpachne schimperi Hochst. ex A.Rich.,['1365712'],1,Hochst. ex A.Rich.,Harpachne schimperi,schimperi,,Harpachne,Not assessed
251,Cedrela odorata L.,['1365961'],1,L.,Cedrela odorata,odorata,,Cedrela,VU
252,Aeschynomene americana L.,['1366875'],1,L.,Aeschynomene americana,americana,,Aeschynomene,Not assessed
253,Neltuma alba (Griseb.) C.E.Hughes & G.P.Lewis,['1366898'],1,(Griseb.) C.E.Hughes & G.P.Lewis,Neltuma alba,alba,,Neltuma,LR/nt
254,Neltuma juliflora (Sw.) Raf.,['1366899'],1,(Sw.) Raf.,Neltuma juliflora,juliflora,,Neltuma,LC
255,Crotalaria spectabilis Roth,['1366997'],1,Roth,Crotalaria spectabilis,spectabilis,,Crotalaria,Not assessed
256,Crotalaria chrysochlora Baker f. ex Harms,['1367060'],1,Baker f. ex Harms,Crotalaria chrysochlora,chrysochlora,f. ex,Crotalaria,LC
257,Crotalaria deflersii Schweinf.,['1367087'],1,Schweinf.,Crotalaria deflersii,deflersii,,Crotalaria,Not assessed
258,Crotalaria polysperma Kotschy,['1367267'],1,Kotschy,Crotalaria polysperma,polysperma,,Crotalaria,Not assessed
259,Crotalaria uguenensis Taub.,['1367343'],1,Taub.,Crotalaria uguenensis,uguenensis,,Crotalaria,Not assessed
260,Crotalaria verrucosa L.,['1367369'],1,L.,Crotalaria verrucosa,verrucosa,,Crotalaria,Not assessed
261,Lupinus perennis L.,['1367431'],1,L.,Lupinus perennis,perennis,,Lupinus,Not assessed
262,Lupinus polyphyllus Lindl.,['1367432'],1,Lindl.,Lupinus polyphyllus,polyphyllus,,Lupinus,LC
263,Dalbergia latifolia Roxb.,['1367781'],1,Roxb.,Dalbergia latifolia,latifolia,,Dalbergia,VU
264,Cordyla africana Lour.,['1367784'],1,Lour.,Cordyla africana,africana,,Cordyla,LC
265,Vachellia xanthophloea (Benth.) Banfi & Galasso,['1367921'],1,(Benth.) Banfi & Galasso,Vachellia xanthophloea,xanthophloea,,Vachellia,LC
266,Vachellia drepanolobium (Harms ex Y.Sjöstedt) P.J.H.Hurter,['1367938'],1,(Harms ex Y.Sjöstedt) P.J.H.Hurter,Vachellia drepanolobium,drepanolobium,,Vachellia,LC
267,Vachellia hockii (De Wild.) Seigler & Ebinger,['1367949'],1,(De Wild.) Seigler & Ebinger,Vachellia hockii,hockii,,Vachellia,LC
268,Acaciella angustissima (Mill.) Britton & Rose,['1367998'],1,(Mill.) Britton & Rose,Acaciella angustissima,angustissima,,Acaciella,LC
269,Gomphocarpus integer (N.E.Br.) Bullock,['1369472'],1,(N.E.Br.) Bullock,Gomphocarpus integer,integer,,Gomphocarpus,Not assessed
270,Trachelospermum jasminoides (Lindl.) Lem.,['1369887'],1,(Lindl.) Lem.,Trachelospermum jasminoides,jasminoides,,Trachelospermum,Not assessed
271,Tradescantia spathacea Sw.,['1369960'],1,Sw.,Tradescantia spathacea,spathacea,,Tradescantia,Not assessed
272,Gymnosporia putterlickioides Loes.,['1370279'],1,Loes.,Gymnosporia putterlickioides,putterlickioides,,Gymnosporia,Not assessed
273,Conostomium longitubum (Beck) Cufod.,['1370991'],1,(Beck) Cufod.,Conostomium longitubum,kenyense,,Conostomium,Not assessed
274,Conostomium quadrangulare (Rendle) Cufod.,['1370993'],1,(Rendle) Cufod.,Conostomium quadrangulare,quadrangulare,,Conostomium,Not assessed
275,Mussaenda frondosa L.,['1371680'],1,L.,Mussaenda frondosa,frondosa,,Mussaenda,LC
276,Mussaenda erythrophylla Schumach. & Thonn.,['1371691'],1,Schumach. & Thonn.,Mussaenda erythrophylla,erythrophylla,,Mussaenda,LC
277,Morinda citrifolia L.,['1372016'],1,L.,Morinda citrifolia,citrifolia,,Morinda,LC
278,Pilocarpus racemosus Vahl,['1372602'],1,Vahl,Pilocarpus racemosus,racemosus,,Pilocarpus,LC
279,Pelargonium alchemilloides (L.) L'Hér.,['1373151'],1,(L.) L'Hér.,Pelargonium alchemilloides,alchemilloides,,Pelargonium,Not assessed
280,Pelargonium quinquelobatum Hochst. ex A.Rich.,['1373231'],1,Hochst. ex A.Rich.,Pelargonium quinquelobatum,quinquelobatum,,Pelargonium,Not assessed
281,Pelargonium glechomoides A.Rich.,['1373259'],1,A.Rich.,Pelargonium glechomoides,glechomoides,,Pelargonium,Not assessed
282,Gynura aurantiaca (Blume) DC.,"['1373530', '1409191']",2,(Blume) DC.,Gynura aurantiaca,aurantiaca,,Gynura,Not assessed
283,Gynura procumbens (Lour.) Merr.,['1373535'],1,(Lour.) Merr.,Gynura procumbens,procumbens,,Gynura,Not assessed
284,Aspilia mossambicensis (Oliv.) Wild,['1374448'],1,(Oliv.) Wild,Aspilia mossambicensis,mossambicensis,,Aspilia,Not assessed
285,Aspilia pluriseta Schweinf. ex Engl.,['1374450'],1,Schweinf. ex Engl.,Aspilia pluriseta,pluriseta,,Aspilia,Not assessed
286,Schkuhria pinnata (Lam.) Kuntze ex Thell.,"['1374466', '1423286']",2,(Lam.) Kuntze ex Thell.,Schkuhria pinnata,pinnata,,Schkuhria,Not assessed
287,Montanoa hibiscifolia Benth.,['1374933'],1,Benth.,Montanoa hibiscifolia,hibiscifolia,,Montanoa,Not assessed
288,Acalypha crenata Hochst. ex A.Rich.,['1375776'],1,Hochst. ex A.Rich.,Acalypha crenata,crenata,,Acalypha,LC
289,Acalypha hispida Burm.f.,"['1375797', '1408688']",2,Burm.f.,Acalypha hispida,hispida,,Acalypha,Not assessed
290,Phyllanthus fischeri Pax,['1375895'],1,Pax,Phyllanthus fischeri,fischeri,,Phyllanthus,Not assessed
291,Phyllanthus suffrutescens Pax,['1375954'],1,Pax,Phyllanthus suffrutescens,suffrutescens,,Phyllanthus,Not assessed
292,Phyllanthus acidus (L.) Skeels,['1375965'],1,(L.) Skeels,Phyllanthus acidus,acidus,,Phyllanthus,Not assessed
293,Phyllanthus amarus Schumach. & Thonn.,['1375966'],1,Schumach. & Thonn.,Phyllanthus amarus,amarus,,Phyllanthus,Not assessed
294,Triadica sebifera (L.) Small,['1376366'],1,(L.) Small,Triadica sebifera,sebifera,,Triadica,LC
295,Petiveria alliacea L.,['1376703'],1,L.,Petiveria alliacea,alliacea,,Petiveria,Not assessed
296,Peperomia pellucida (L.) Kunth,['1376726'],1,(L.) Kunth,Peperomia pellucida,pellucida,,Peperomia,Not assessed
297,Guaiacum officinale L.,['1379303'],1,L.,Guaiacum officinale,officinale,,Guaiacum,EN
298,Hypericum annulatum Moris,['1379513'],1,Moris,Hypericum annulatum,annulatum,,Hypericum,Not assessed
299,Mussaenda philippica A.Rich.,"['1379556', '1420496']",2,A.Rich.,Mussaenda philippica,philippica,,Mussaenda,LC
300,Boscia mossambicensis Klotzsch,['1380874'],1,Klotzsch,Boscia mossambicensis,mossambicensis,,Boscia,LC
301,Boscia coriacea Graells,['1380904'],1,Graells,Boscia coriacea,coriacea,,Boscia,Not assessed
302,Mecardonia procumbens (Mill.) Small,['1381173'],1,(Mill.) Small,Mecardonia procumbens,procumbens,,Mecardonia,Not assessed
303,Browallia americana L.,['1381468'],1,L.,Browallia americana,americana,,Browallia,Not assessed
304,Acacia mangium Willd.,['1382099'],1,Willd.,Acacia mangium,mangium,,Acacia,LC
305,Casuarina equisetifolia L.,['1383149'],1,L.,Casuarina equisetifolia,equisetifolia,,Casuarina,LC
306,Aristea abyssinica Pax,['1383772'],1,Pax,Aristea abyssinica,abyssinica,,Aristea,Not assessed
307,Aristea ecklonii Baker,['1383774'],1,Baker,Aristea ecklonii,ecklonii,,Aristea,Not assessed
308,Erianthemum dregei (Eckl. & Zeyh.) Tiegh.,['1384199'],1,(Eckl. & Zeyh.) Tiegh.,Erianthemum dregei,dregei,,Erianthemum,Not assessed
309,Cucurbita ficifolia Bouché,['1384482'],1,Bouché,Cucurbita ficifolia,ficifolia,,Cucurbita,Not assessed
310,Cucurbita pepo L.,['1384485'],1,L.,Cucurbita pepo,pepo,,Cucurbita,LC
311,Luffa acutangula (L.) Roxb.,['1384497'],1,(L.) Roxb.,Luffa acutangula,acutangula,,Luffa,Not assessed
312,Lagenaria siceraria (Molina) Standl.,['1384499'],1,(Molina) Standl.,Lagenaria siceraria,siceraria,,Lagenaria,Not assessed
313,Lagenaria sphaerica (Sond.) Naudin,['1384500'],1,(Sond.) Naudin,Lagenaria sphaerica,sphaerica,,Lagenaria,Not assessed
314,Asystasia riparia Lindau,['1384760'],1,Lindau,Asystasia riparia,riparia,,Asystasia,Not assessed
315,Barringtonia asiatica (L.) Kurz,['1385700'],1,(L.) Kurz,Barringtonia asiatica,asiatica,,Barringtonia,LC
316,Couroupita guianensis Aubl.,['1385701'],1,Aubl.,Couroupita guianensis,guianensis,,Couroupita,LC
317,Asystasia charmian S.Moore,['1385749'],1,S.Moore,Asystasia charmian,charmian,,Asystasia,Not assessed
318,Raphia farinifera (Gaertn.) Hyl.,['1385853'],1,(Gaertn.) Hyl.,Raphia farinifera,farinifera,,Raphia,LC
319,Zamioculcas zamiifolia (G.Lodd.) Engl.,['1385937'],1,(G.Lodd.) Engl.,Zamioculcas zamiifolia,zamiifolia,,Zamioculcas,Not assessed
320,Kniphofia linearifolia Baker,['1387107'],1,Baker,Kniphofia linearifolia,linearifolia,,Kniphofia,Not assessed
321,Smilax anceps Willd.,['1387284'],1,Willd.,Smilax anceps,anceps,,Smilax,Not assessed
322,Vanilla planifolia Andrews,"['1387687', '1404481', '1419807']",3,Andrews,Vanilla planifolia,planifolia,,Vanilla,EN
323,Ansellia africana Lindl.,['1387727'],1,Lindl.,Ansellia africana,africana,,Ansellia,VU
324,Hypericum balearicum L.,['1388905'],1,L.,Hypericum balearicum,balearicum,,Hypericum,LC
325,Ophrys holosericea nan,"['1388911', '1394120']",2,,Ophrys holosericea,druentica,,Ophrys,Not assessed
326,Odontites longiflorus (Vahl) Webb,['1389016'],1,(Vahl) Webb,Odontites longiflorus,longiforum,,Odontites,Not assessed
327,Pyracantha koidzumii (Hayata) Rehder,['1389031'],1,(Hayata) Rehder,Pyracantha koidzumii,koidzumii,,Pyracantha,EN
328,Cicerbita plumieri (L.) Kirschl.,['1389044'],1,(L.) Kirschl.,Cicerbita plumieri,plumieri,,Cicerbita,Not assessed
329,Aizoanthemopsis hispanica (L.) Klak,['1389078'],1,(L.) Klak,Aizoanthemopsis hispanica,hispanicum,,Aizoanthemopsis,Not assessed
330,Phedimus aizoon (L.) 't Hart,['1389230'],1,(L.) 't Hart,Phedimus aizoon,aizoon,t Hart,Phedimus,Not assessed
331,Phedimus spurius (M.Bieb.) 't Hart,['1389231'],1,(M.Bieb.) 't Hart,Phedimus spurius,spurius,t Hart,Phedimus,Not assessed
332,Cereus jamacaru DC.,['1389297'],1,DC.,Cereus jamacaru,jamacaru,,Cereus,LC
333,Sedum pachyphyllum Rose,['1389307'],1,Rose,Sedum pachyphyllum,pachyphyllum,,Sedum,Not assessed
334,Sedum dendroideum Moc. & Sessé ex DC.,['1389308'],1,Moc. & Sessé ex DC.,Sedum dendroideum,dendroideum,,Sedum,Not assessed
335,Liriodendron chinense (Hemsl.) Sarg.,['1389426'],1,(Hemsl.) Sarg.,Liriodendron chinense,chinense,,Liriodendron,NT
336,Atocion rupestre (L.) Oxelman,['1389442'],1,(L.) Oxelman,Atocion rupestre,rupestre,,Atocion,Not assessed
337,Tagetes tenuifolia Cav.,['1389492'],1,Cav.,Tagetes tenuifolia,tenuifolia,,Tagetes,Not assessed
338,Aegopodium podagraria L.,['1389510'],1,L.,Aegopodium podagraria,podagraria,,Aegopodium,Not assessed
339,Acacia melanoxylon R.Br.,['1389553'],1,R.Br.,Acacia melanoxylon,melanoxylon,,Acacia,Not assessed
340,Acacia saligna (Labill.) H.L.Wendl.,"['1389567', '1568914']",2,(Labill.) H.L.Wendl.,Acacia saligna,saligna,,Acacia,LC
341,Patzkea paniculata (L.) G.H.Loos,['1389628'],1,(L.) G.H.Loos,Patzkea paniculata,paniculata,,Patzkea,Not assessed
342,Salvia abrotanoides (Kar.) Sytsma,['1389630'],1,(Kar.) Sytsma,Salvia abrotanoides,abrotanoides,,Salvia,Not assessed
343,Ophrys x arachnitiformis Gren. & M.Philippe,"['1389633', '1394072', '1394153']",3,Gren. & M.Philippe,Ophrys x arachnitiformis,occidentalis,,Ophrys,Not assessed
344,Erechtites hieraciifolius (L.) Raf. ex DC.,['1389921'],1,(L.) Raf. ex DC.,Erechtites hieraciifolius,hieraciifolius,,Erechtites,Not assessed
345,Cenchrus longisetus M.C.Johnst.,['1389966'],1,M.C.Johnst.,Cenchrus longisetus,longisetus,,Cenchrus,Not assessed
346,Nothofagus obliqua (Mirb.) Oerst.,['1390617'],1,(Mirb.) Oerst.,Nothofagus obliqua,obliqua,,Nothofagus,LC
347,Carthamus carduncellus L.,['1390956'],1,L.,Carthamus carduncellus,carduncellus,,Carthamus,Not assessed
348,Carthamus mitissimus L.,['1390957'],1,L.,Carthamus mitissimus,mitissimus,,Carthamus,Not assessed
349,Chaerophyllum aureum L.,['1391110'],1,L.,Chaerophyllum aureum,aureum,,Chaerophyllum,Not assessed
350,Chaerophyllum hirsutum L.,['1391112'],1,L.,Chaerophyllum hirsutum,hirsutum,,Chaerophyllum,Not assessed
351,Chaerophyllum villarsii W.D.J.Koch,['1391113'],1,W.D.J.Koch,Chaerophyllum villarsii,villarsii,,Chaerophyllum,Not assessed
352,Cirsium alsophilum (Pollini) Soldano,['1391167'],1,(Pollini) Soldano,Cirsium alsophilum,alsophilum,,Cirsium,Not assessed
353,Cirsium canum (L.) All.,['1391184'],1,(L.) All.,Cirsium canum,canum,,Cirsium,Not assessed
354,Cirsium dissectum (L.) Hill,['1391190'],1,(L.) Hill,Cirsium dissectum,dissectum,,Cirsium,Not assessed
355,"Lophiolepis eriophora (L.) Del Guacchio, Bureš, Iamonico & P.Caputo",['1391192'],1,"(L.) Del Guacchio, Bureš, Iamonico & P.Caputo",Lophiolepis eriophora,eriophorum,,Lophiolepis,Not assessed
356,Cirsium erisithales Scop.,['1391193'],1,Scop.,Cirsium erisithales,erisithales,,Cirsium,Not assessed
357,"Lophiolepis ferox (L.) Del Guacchio, Bureš, Iamonico & P.Caputo",['1391197'],1,"(L.) Del Guacchio, Bureš, Iamonico & P.Caputo",Lophiolepis ferox,ferox,,Lophiolepis,Not assessed
358,Cirsium filipendulum Lange,['1391198'],1,Lange,Cirsium filipendulum,filipendulum,,Cirsium,Not assessed
359,Cirsium glabrum DC.,['1391206'],1,DC.,Cirsium glabrum,glabrum,,Cirsium,Not assessed
360,Cirsium heterophyllum (L.) Hill,['1391209'],1,(L.) Hill,Cirsium heterophyllum,heterophyllum,,Cirsium,Not assessed
361,"Lophiolepis morisiana (Rchb.f.) Del Guacchio, Bureš, Iamonico & P.Caputo",['1391221'],1,"(Rchb.f.) Del Guacchio, Bureš, Iamonico & P.Caputo",Lophiolepis morisiana,morisianum,,Lophiolepis,Not assessed
362,Cirsium oleraceum (L.) Scop.,['1391226'],1,(L.) Scop.,Cirsium oleraceum,oleraceum,,Cirsium,Not assessed
363,Cirsium rivulare (Jacq.) All.,['1391235'],1,(Jacq.) All.,Cirsium rivulare,rivulare,,Cirsium,Not assessed
364,Cirsium tuberosum (L.) All.,['1391250'],1,(L.) All.,Cirsium tuberosum,tuberosum,,Cirsium,Not assessed
365,Collomia grandiflora Douglas ex Lindl.,['1391326'],1,Douglas ex Lindl.,Collomia grandiflora,grandiflora,,Collomia,Not assessed
366,Cucurbita maxima Duchesne,['1391483'],1,Duchesne,Cucurbita maxima,maxima,,Cucurbita,Not assessed
367,Cymbalaria aequitriloba (Viv.) A.Chev.,['1391498'],1,(Viv.) A.Chev.,Cymbalaria aequitriloba,aequitriloba,,Cymbalaria,Not assessed
368,Cymbalaria hepaticifolia (Poir.) Wettst.,['1391499'],1,(Poir.) Wettst.,Cymbalaria hepaticifolia,hepaticifolia,,Cymbalaria,Not assessed
369,Cytinus hypocistis (L.) L.,['1391529'],1,(L.) L.,Cytinus hypocistis,hypocistis,,Cytinus,Not assessed
370,Cytinus ruber (Fourr.) Fritsch,['1391530'],1,(Fourr.) Fritsch,Cytinus ruber,ruber,,Cytinus,Not assessed
371,Daphne alpina L.,['1391648'],1,L.,Daphne alpina,alpina,,Daphne,Not assessed
372,Daphne cneorum L.,['1391649'],1,L.,Daphne cneorum,cneorum,,Daphne,Not assessed
373,Daphne mezereum L.,['1391652'],1,L.,Daphne mezereum,mezereum,,Daphne,LC
374,Daphne striata Tratt.,['1391654'],1,Tratt.,Daphne striata,striata,,Daphne,Not assessed
375,Cleretum bellidiforme (Burm.f.) G.D.Rowley,['1391762'],1,(Burm.f.) G.D.Rowley,Cleretum bellidiforme,bellidiformis,,Cleretum,Not assessed
376,Dryas octopetala L.,['1391797'],1,L.,Dryas octopetala,octopetala,,Dryas,Not assessed
377,Dryopteris carthusiana (Vill.) H.P.Fuchs,"['1391805', '1411827']",2,(Vill.) H.P.Fuchs,Dryopteris carthusiana,carthusiana,,Dryopteris,LC
378,Dryopteris cristata (L.) A.Gray,"['1391807', '1411829']",2,(L.) A.Gray,Dryopteris cristata,cristata,,Dryopteris,LC
379,Dryopteris dilatata (Hoffm.) A.Gray,['1391809'],1,(Hoffm.) A.Gray,Dryopteris dilatata,dilatata,,Dryopteris,LC
380,Dryopteris expansa (C.Presl) Fraser-Jenk. & Jermy,['1391810'],1,(C.Presl) Fraser-Jenk. & Jermy,Dryopteris expansa,expansa,,Dryopteris,LC
381,Dryopteris villarii (Bellardi) Woyn. ex Schinz & Thell.,['1391821'],1,(Bellardi) Woyn. ex Schinz & Thell.,Dryopteris villarii,villarii,,Dryopteris,LC
382,Empetrum nigrum L.,['1391868'],1,L.,Empetrum nigrum,nigrum,,Empetrum,Not assessed
383,Epipactis atrorubens (Hoffm.) Besser,['1391953'],1,(Hoffm.) Besser,Epipactis atrorubens,atrorubens,,Epipactis,LC
384,Epipactis leptochila (Godfery) Godfery,['1391960'],1,(Godfery) Godfery,Epipactis leptochila,leptochila,,Epipactis,LC
385,Epipactis microphylla (Ehrh.) Sw.,['1391961'],1,(Ehrh.) Sw.,Epipactis microphylla,microphylla,,Epipactis,NT
386,Epipactis muelleri Godfery,['1391962'],1,Godfery,Epipactis muelleri,muelleri,,Epipactis,LC
387,Epipactis palustris (L.) Crantz,['1391963'],1,(L.) Crantz,Epipactis palustris,palustris,,Epipactis,LC
388,Epipactis phyllanthes G.E.Sm.,['1391964'],1,G.E.Sm.,Epipactis phyllanthes,phyllanthes,,Epipactis,LC
389,Epipactis purpurata Sm.,['1391967'],1,Sm.,Epipactis purpurata,purpurata,,Epipactis,LC
390,Erucastrum gallicum (Willd.) O.E.Schulz,['1392093'],1,(Willd.) O.E.Schulz,Erucastrum gallicum,gallicum,,Erucastrum,Not assessed
391,Hirschfeldia incana (L.) Lagr.-Foss.,['1392094'],1,(L.) Lagr.-Foss.,Hirschfeldia incana,incanum,,Hirschfeldia,Not assessed
392,Erucastrum nasturtiifolium (Poir.) O.E.Schulz,['1392096'],1,(Poir.) O.E.Schulz,Erucastrum nasturtiifolium,nasturtiifolium,,Erucastrum,Not assessed
393,Valeriana graciliflora (Fisch. & C.A.Mey.) Byng & Christenh.,['1392254'],1,(Fisch. & C.A.Mey.) Byng & Christenh.,Valeriana graciliflora,graciliflora,,Valeriana,Not assessed
394,Fragaria moschata Duchesne ex Weston,['1392361'],1,Duchesne ex Weston,Fragaria moschata,moschata,,Fragaria,LC
395,Freesia x kewensis J.Wright bis,['1392365'],1,J.Wright bis,Freesia x kewensis,hybrida,,Freesia,Not assessed
396,Galega orientalis Lam.,['1392418'],1,Lam.,Galega orientalis,orientalis,,Galega,Not assessed
397,Geropogon hybridus (L.) Sch.Bip.,['1392601'],1,(L.) Sch.Bip.,Geropogon hybridus,hybridus,,Geropogon,Not assessed
398,Gomphocarpus fruticosus (L.) W.T.Aiton,['1392653'],1,(L.) W.T.Aiton,Gomphocarpus fruticosus,fruticosus,,Gomphocarpus,Not assessed
399,Gomphocarpus physocarpus E.Mey.,['1392654'],1,E.Mey.,Gomphocarpus physocarpus,physocarpus,,Gomphocarpus,Not assessed
400,Veronica x andersonii Hérincq,"['1392689', '1646149']",2,Hérincq,Veronica x andersonii,andersonii,,Veronica,Not assessed
401,Veronica brachysiphon (Summerh.) Bean,['1392690'],1,(Summerh.) Bean,Veronica brachysiphon,brachysiphon,,Veronica,Not assessed
402,Veronica ochracea (Ashwin) Garn.-Jones,['1392691'],1,(Ashwin) Garn.-Jones,Veronica ochracea,ochracea,,Veronica,Not assessed
403,Veronica salicifolia G.Forst.,['1392695'],1,G.Forst.,Veronica salicifolia,salicifolia,,Veronica,Not assessed
404,Helicodiceros muscivorus (L.f.) Engl.,['1392730'],1,(L.f.) Engl.,Helicodiceros muscivorus,muscivorus,,Helicodiceros,LC
405,Hippophae rhamnoides L.,['1392777'],1,L.,Hippophae rhamnoides,rhamnoides,,Hippophae,LC
406,Hypericum calycinum L.,['1393241'],1,L.,Hypericum calycinum,calycinum,,Hypericum,Not assessed
407,Hypericum coris L.,['1393242'],1,L.,Hypericum coris,coris,,Hypericum,Not assessed
408,Hypericum elodes L.,['1393245'],1,L.,Hypericum elodes,elodes,,Hypericum,LC
409,Hypericum x inodorum Mill.,['1393248'],1,Mill.,Hypericum x inodorum,inodorum,,Hypericum,Not assessed
410,Hypericum maculatum Crantz,['1393250'],1,Crantz,Hypericum maculatum,maculatum,,Hypericum,Not assessed
411,Hypericum nummularium L.,['1393253'],1,L.,Hypericum nummularium,nummularium,,Hypericum,Not assessed
412,Hypericum pulchrum L.,['1393254'],1,L.,Hypericum pulchrum,pulchrum,,Hypericum,Not assessed
413,Hypericum richeri Vill.,['1393257'],1,Vill.,Hypericum richeri,richeri,,Hypericum,Not assessed
414,Dierama pulcherrimum (Hook.f.) Baker,['1393294'],1,(Hook.f.) Baker,Dierama pulcherrimum,pulcherrimum,,Dierama,Not assessed
415,Cyclachaena xanthiifolia (Nutt.) Fresen.,['1393322'],1,(Nutt.) Fresen.,Cyclachaena xanthiifolia,xanthiifolia,,Cyclachaena,Not assessed
416,Kniphofia uvaria (L.) Oken,"['1393393', '1420863']",2,(L.) Oken,Kniphofia uvaria,uvaria,,Kniphofia,Not assessed
417,Cicerbita alpina (L.) Wallr.,"['1393414', '1513142']",2,(L.) Wallr.,Cicerbita alpina,alpina,,Cicerbita,Not assessed
418,Cicerbita macrophylla (Willd.) Wallr.,['1393416'],1,(Willd.) Wallr.,Cicerbita macrophylla,macrophylla,,Cicerbita,Not assessed
419,Lactuca viminea (L.) J.Presl & C.Presl,['1393418'],1,(L.) J.Presl & C.Presl,Lactuca viminea,viminea,,Lactuca,LC
420,Lamium album L.,['1393423'],1,L.,Lamium album,album,,Lamium,LC
421,Lamium maculatum (L.) L.,"['1393425', '1412418']",2,(L.) L.,Lamium maculatum,maculatum,,Lamium,Not assessed
422,Lathraea clandestina L.,['1393449'],1,L.,Lathraea clandestina,clandestina,,Lathraea,Not assessed
423,Lathraea squamaria L.,['1393450'],1,L.,Lathraea squamaria,squamaria,,Lathraea,Not assessed
424,Lavandula x intermedia Emeric ex Loisel.,['1393465'],1,Emeric ex Loisel.,Lavandula x intermedia,intermedia,,Lavandula,Not assessed
425,Lavandula latifolia Medik.,['1393466'],1,Medik.,Lavandula latifolia,latifolia,,Lavandula,LC
426,Limnanthes douglasii R.Br.,"['1393537', '1419352']",2,R.Br.,Limnanthes douglasii,douglasii,,Limnanthes,Not assessed
427,Liriodendron tulipifera L.,['1393614'],1,L.,Liriodendron tulipifera,tulipifera,,Liriodendron,LC
428,Lupinus arboreus Sims,['1393654'],1,Sims,Lupinus arboreus,arboreus,,Lupinus,Not assessed
429,Lupinus x regalis Bergmans,['1393656'],1,Bergmans,Lupinus x regalis,regalis,,Lupinus,Not assessed
430,Maianthemum bifolium (L.) F.W.Schmidt,['1393725'],1,(L.) F.W.Schmidt,Maianthemum bifolium,bifolium,,Maianthemum,Not assessed
431,Melilotus altissimus Thuill.,['1393789'],1,Thuill.,Melilotus altissimus,altissimus,,Melilotus,Not assessed
432,Melilotus neapolitanus Ten.,['1393796'],1,Ten.,Melilotus neapolitanus,spicatus,,Melilotus,Not assessed
433,Mercurialis tomentosa L.,['1393823'],1,L.,Mercurialis tomentosa,tomentosa,,Mercurialis,Not assessed
434,Moehringia ciliata (Scop.) Dalla Torre,['1393846'],1,(Scop.) Dalla Torre,Moehringia ciliata,ciliata,,Moehringia,Not assessed
435,Moehringia muscosa L.,['1393850'],1,L.,Moehringia muscosa,muscosa,,Moehringia,Not assessed
436,Moehringia pentandra J.Gay,['1393851'],1,J.Gay,Moehringia pentandra,pentandra,,Moehringia,Not assessed
437,Narthecium ossifragum (L.) Huds.,['1393933'],1,(L.) Huds.,Narthecium ossifragum,ossifragum,,Narthecium,Not assessed
438,"Neotinea lactea (Poir.) R.M.Bateman, Pridgeon & M.W.Chase",['1393945'],1,"(Poir.) R.M.Bateman, Pridgeon & M.W.Chase",Neotinea lactea,lactea,,Neotinea,LC
439,"Neotinea ustulata (L.) R.M.Bateman, Pridgeon & M.W.Chase",['1393946'],1,"(L.) R.M.Bateman, Pridgeon & M.W.Chase",Neotinea ustulata,ustulata,,Neotinea,LC
440,Noccaea caerulescens (J.Presl & C.Presl) F.K.Mey.,['1393965'],1,(J.Presl & C.Presl) F.K.Mey.,Noccaea caerulescens,caerulescens,,Noccaea,Not assessed
441,Noccaea montana (L.) F.K.Mey.,['1393967'],1,(L.) F.K.Mey.,Noccaea montana,montana,,Noccaea,Not assessed
442,Noccaea rotundifolia (L.) Moench,['1393968'],1,(L.) Moench,Noccaea rotundifolia,rotundifolia,,Noccaea,Not assessed
443,Nymphaea candida C.Presl,['1393980'],1,C.Presl,Nymphaea candida,candida,,Nymphaea,LC
444,Nymphoides peltata (S.G.Gmel.) Kuntze,['1393981'],1,(S.G.Gmel.) Kuntze,Nymphoides peltata,peltata,,Nymphoides,LC
